horizonte,periodo,media,mediana
12 meses,2023-01,7.8,7
12 meses,2023-02,7.2,7
12 meses,2023-03,7,7
12 meses,2023-04,7,7
12 meses,2023-05,7.2,7
12 meses,2023-06,7.1,7
12 meses,2023-07,6.3,6
12 meses,2023-08,6,5
12 meses,2023-09,5.5,5
12 meses,2023-10,5.7,5
12 meses,2023-11,5.2,5
12 meses,2023-12,5,5
12 meses,2024-01,4.3,4
12 meses,2024-02,4.3,4
12 meses,2024-03,4.2,4
12 meses,2024-04,4.1,4
12 meses,2024-05,4.2,4
12 meses,2024-06,4.2,4
12 meses,2024-07,4.1,4
12 meses,2024-08,4.2,4
12 meses,2024-09,4.1,4
12 meses,2024-10,4.1,4
12 meses,2024-11,4.2,4
12 meses,2024-12,4.2,4
12 meses,2025-01,4.3,4
12 meses,2025-02,4.2,4
12 meses,2025-03,4.2,4
12 meses,2025-04,4.2,4
12 meses,2025-05,4.1,4
12 meses,2025-06,4.2,4
12 meses,2025-07,4.1,4
12 meses,2025-08,4,4
12 meses,2025-09,3.9,4
12 meses,2025-10,3.8,4
12 meses,2025-11,3.7,4
12 meses,2025-12,3.6,3.5
12 meses,2026-01,3.4,3.5
12 meses,2026-02,3.3,3
12 meses,2026-03,3.5,3.3
12 meses,2026-04,4,4
12 meses,2026-05,4.1,4
12 meses,2026-06,4.2,4
24 meses,2023-01,6.4,5
24 meses,2023-02,6.1,5
24 meses,2023-03,5.7,5
24 meses,2023-04,5.8,5
24 meses,2023-05,5.7,5
24 meses,2023-06,5.5,5
24 meses,2023-07,5.1,4.5
24 meses,2023-08,5,4
24 meses,2023-09,5,4
24 meses,2023-10,5.2,4
24 meses,2023-11,4.8,4
24 meses,2023-12,4.8,4
24 meses,2024-01,4.3,4
24 meses,2024-02,4.3,4
24 meses,2024-03,4,3.5
24 meses,2024-04,4.1,3.5
24 meses,2024-05,4.1,3.5
24 meses,2024-06,4.1,3.7
24 meses,2024-07,4,3.7
24 meses,2024-08,4,3.8
24 meses,2024-09,4,3.9
24 meses,2024-10,4,4
24 meses,2024-11,4,4
24 meses,2024-12,4.2,4
24 meses,2025-01,4.2,4
24 meses,2025-02,4.1,4
24 meses,2025-03,3.8,3.7
24 meses,2025-04,4,4
24 meses,2025-05,4,4
24 meses,2025-06,4.1,4
24 meses,2025-07,4,4
24 meses,2025-08,4,3.8
24 meses,2025-09,3.8,3.5
24 meses,2025-10,3.7,3.5
24 meses,2025-11,3.7,3.5
24 meses,2025-12,3.5,3.3
24 meses,2026-01,3.4,3
24 meses,2026-02,3.3,3
24 meses,2026-03,3.4,3
24 meses,2026-04,3.6,3.3
24 meses,2026-05,3.8,3.5
24 meses,2026-06,3.8,3.5
